TOI,,TESS Disposition,TFOPWG Disposition,t0,t0_err,period,p_err,radius,r_err,st_mass,ecc,e_err,mass,m_err,inc,i_err,multi,Comments
118,1,CP,CP,2459083.509,0.00123,6.034456878,9.86E-06,4.764395946,0.2857246,0.97,0,0,,,89,0.2,0,HD 219666 b
120,1,CP,CP,2458332.083,0.000707,11.535076,0.001035,12.215808,1.480912,0.96,0,0,,,89,0.2,0,"HD 1397 b	"
122,1,CP,CP,2458329.12,0.000987715,5.078025486,1.34E-05,2.709042096,0.5059658,0.315858,0,0,,,89,0.2,0,TOI-122 b
123,1,CP,CP,2458325.375,0.000163577,3.308877305,1.39E-06,17.21500152,0.871801,1.263,0,0,,,89,0.2,0,HD 202772 A b
125,1,CP,CP,2458327.445,0.001787214,4.651790585,2.24E-05,3.310015183,0.227317,0.91,0,0,,,89,0.2,1,TOI-125 b / TOI 125.01
125,2,CP,CP,2458334.446,0.00165981,9.154662106,4.35E-05,2.952309816,0.30252436,0.91,0,0,,,89,0.2,1,TOI-125 c / TOI-125.02
125,3,CP,CP,2458342.851,0.0024966,19.9812509,0.000113434,2.876170414,0.5839863,0.91,0,0,,,89,0.2,1,period is likely correct but possibly two independent single transits
127,1,CP,CP,2458325.651,0.000243106,3.795517784,2.27E-06,10.32616195,0.33078393,0.44159,0,0,,,89,0.2,0,HATS-71 b
129,1,CP,CP,2458326.103,4.99E-05,0.980980684,1.17E-06,5.916292333,0.7808294,0.7,0,0,,,89,0.2,0,TOI 129.01 / HIP 65 A b
130,1,CP,CP,2459368.983,0.003498,14.3392065,3.00E-05,2.314492132,0.5374176,1.23,0,0,,,89,0.2,0,HD 5278 b
132,1,CP,CP,2458326.903,0.000821728,2.109684883,6.64E-06,3.517574786,0.9270777,0.91,0,0,,,89,0.2,0,TOI-132 b / TOI-132.01
134,1,CP,CP,2458326.033,0.000652927,1.401524516,5.99E-06,1.739564929,0.13575211,0.58564,0,0,,,89,0.2,0,L 168-9 b
141,1,CP,CP,2459062.557,0.001528128,1.008226558,3.73E-06,1.61327415,0.7878952,1.04,0,0,,,89,0.2,0,HD 213885 b
144,1,CP,CP,2459365.964,0.001350039,6.267811056,3.81E-06,2.153612932,0.11300197,1.1,0,0,,,89,0.2,0,pi Men c
150,1,CP,CP,2459363.045,0.001113934,5.857407538,3.09E-06,13.88927615,0.61632216,1.1,0,0,,,89,0.2,0,TOI 150 b
157,1,CP,CP,2459385.494,0.0001529,2.0845398,0.0000005,13.0435,0.69784,1,0,0,,,89,0.2,0,TOI-157b (Nielsen+2020)
163,1,CP,CP,2459365.507,0.000664461,4.231115302,1.17E-06,14.53562272,0.6842795,1.41,0,0,,,89,0.2,0,TOI-163 b
169,1,CP,CP,2459062.718,0.001265776,2.255445922,4.46E-06,11.05352928,0.5730389,1.05,0,0,,,89,0.2,0,TOI 169 b
174,1,CP,CP,2458325.329,0.001419905,17.66713309,4.68E-05,2.235456052,0.16114731,0.78,0,0,,,89,0.2,1,HD 23472 b; multi
174,2,CP,CP,2458340.304,0.001397558,29.79762049,9.47E-05,1.677122004,0.9720113,0.78,0,0,,,89,0.2,1,HD 23472 c; multi
175,1,CP,CP,2459363.753,0.000920611,3.690678442,1.59E-06,1.321906444,0.15169466,0.292836,0,0,,,89,0.2,1,L 98-59 c; TOI 175.01
175,2,CP,CP,2459338.784,0.001395677,7.4507325,0.0000072,1.7216,0.118895,0.292836,0,0,,,89,0.2,1,L 98-59 d / TOI 750.02
175,3,CP,CP,2459362.046,0.001504715,2.253108442,2.64E-06,0.951936586,0.048092566,0.292836,0,0,,,89,0.2,1,L 98-59 b / TOI 175.03
178,1,CP,CP,2458360.242,0.001476189,6.557670017,2.66E-05,2.916104367,0.37984014,0.68,0,0,,,89,0.2,1,TOI-178 d / TOI 178.01; part of a multi (trojan planet) system
178,2,CP,CP,2458354.552,0.004083,20.708504,0.003165,3.751004,1.518233,0.68,0,0,,,89,0.2,1,TOI-178 g / TOI 178.02; half period of TOI-178 g in report but updated to match confirmed planet period
